LST,Latitude,Longitude,height,LST_Difference,height_Difference
-12.789999999999964,48.814404894978914,2.264751907034111,137.78350830078125,-41.10702532486323,16.7813720703125
-13.149999999999977,48.81508445923486,2.264388687547075,136.72613525390625,-41.46702532486324,15.7239990234375
-15.729999999999961,48.81398191161084,2.2661595291705203,136.76332092285156,-44.04702532486323,15.761184692382812
-15.809999999999945,48.814666853992804,2.2657964027688267,137.35269165039062,-44.12702532486321,16.350555419921875
-14.269999999999982,48.81535037890438,2.2654332701383106,137.5296173095703,-42.58702532486325,16.527481079101562
-13.769999999999982,48.81601043508005,2.2650855789297815,139.26788330078125,-42.08702532486325,18.2657470703125
-13.109999999999957,48.81671400845095,2.2647070181492097,136.90057373046875,-41.42702532486322,15.8984375
-13.489999999999952,48.81736710113299,2.264359178346369,136.53099060058594,-41.80702532486322,15.528854370117188
-15.789999999999964,48.814240220126024,2.2672038365714124,135.29437255859375,-44.10702532486323,14.292236328125
-16.269999999999982,48.81492515788744,2.2668406693179666,135.8906707763672,-44.58702532486325,14.888534545898438
-15.089999999999975,48.8156099682831,2.266477535737941,136.4738006591797,-43.40702532486324,15.471664428710938
-12.109999999999957,48.81627397006362,2.2661299227066354,139.44248962402344,-40.42702532486322,18.440353393554688
-13.229999999999961,48.816981542114775,2.265751451623442,138.3232879638672,-41.54702532486323,17.321151733398438
-12.609999999999957,48.81763022698809,2.2654034416388242,136.5964813232422,-40.92702532486322,15.594345092773438
-12.729999999999961,48.818298589537655,2.2650399409232755,132.18045043945312,-41.04702532486323,11.178314208984375
-12.169999999999959,48.818965790057675,2.2646764313056056,127.42449951171875,-40.487025324863225,6.42236328125
-12.949999999999989,48.81964281291301,2.2643132616555213,125.73915100097656,-41.267025324863255,4.7370147705078125
-13.849999999999966,48.81450658973863,2.268248255656124,136.41783142089844,-42.16702532486323,15.415695190429688
-13.92999999999995,48.815190257550334,2.2678850133603095,136.63096618652344,-42.247025324863216,15.628829956054688
-13.169999999999959,48.81587418381959,2.267521815359699,136.94993591308594,-41.487025324863225,15.947799682617188
-11.129999999999995,48.81651981601845,2.267173616101232,134.23802185058594,-39.44702532486326,13.235885620117188
-12.449999999999989,48.8172256451706,2.266795051384744,132.58485412597656,-40.767025324863255,11.582717895507812
-11.189999999999998,48.817898992846864,2.2664477481019065,138.51123046875,-39.507025324863264,17.50909423828125
-11.889999999999986,48.818555257322416,2.2660838546647044,130.35073852539062,-40.20702532486325,9.348602294921875
-10.889999999999986,48.819229840615975,2.2657205450514653,127.89370727539062,-39.20702532486325,6.891571044921875
-11.109999999999957,48.819885563166395,2.2653566813085937,119.60134887695312,-39.42702532486322,-1.400787353515625
-13.409999999999968,48.82050786983933,2.264991790115928,100.94081115722656,-41.727025324863234,-20.061325073242188
-15.689999999999998,48.821153596099414,2.2646276403496626,89.56761932373047,-44.007025324863264,-31.43451690673828
-17.269999999999982,48.82182430061169,2.2642643029789795,85.97854614257812,-45.58702532486325,-35.023590087890625
-13.489999999999952,48.814077250426976,2.2696555217977727,133.72251892089844,-41.80702532486322,12.720382690429688
-13.42999999999995,48.814751333780436,2.269291934930397,130.9528350830078,-41.747025324863216,9.950698852539062
-14.109999999999957,48.81545858390883,2.2689293132495907,138.4706573486328,-42.42702532486322,17.468521118164062
-12.449999999999989,48.81612799050014,2.2685656651014936,134.30352783203125,-40.767025324863255,13.3013916015625
-12.589999999999975,48.81677982003368,2.2682176124251305,133.51840209960938,-40.90702532486324,12.516265869140625
-12.049999999999955,48.81749226145002,2.2678392041669837,133.9237060546875,-40.36702532486322,12.92156982421875
-13.169999999999959,48.81813654315336,2.2674909976454396,130.84552001953125,-41.487025324863225,9.8433837890625
-13.70999999999998,48.81880679709832,2.2671274950592912,127.02953338623047,-42.027025324863246,6.027397155761719
-12.329999999999984,48.81948480998556,2.2667642537370156,125.64411163330078,-40.64702532486325,4.641975402832031
-13.069999999999993,48.82012972320434,2.2664000447334636,113.99970245361328,-41.38702532486326,-7.002433776855469
-14.889999999999986,48.820764706251225,2.26603554608888,99.28152465820312,-43.20702532486325,-21.720611572265625
-17.029999999999973,48.82141725268816,2.2656715970540904,90.03519439697266,-45.34702532486324,-30.966941833496094
-17.809999999999974,48.82207371073257,2.265307788211253,82.02152252197266,-46.12702532486324,-38.980613708496094
-18.329999999999984,48.82274003564217,2.26494431042483,77.09664154052734,-46.64702532486325,-43.905494689941406
-19.589999999999975,48.82339303518081,2.2645965919143807,76.88561248779297,-47.90702532486324,-44.11652374267578
-20.96999999999997,48.82406833963736,2.2642334585082122,74.80140686035156,-49.28702532486324,-46.20072937011719
-12.829999999999984,48.81432914836078,2.270699321138554,130.5626220703125,-41.14702532486325,9.56048583984375
-13.349999999999966,48.815010048141545,2.2703358850145268,129.90859985351562,-41.66702532486323,8.906463623046875
-14.089999999999975,48.815695221118894,2.2699726008466494,130.60226440429688,-42.40702532486324,9.600128173828125
-13.109999999999957,48.8163941300025,2.2696097342909223,135.57666015625,-41.42702532486322,14.57452392578125
-13.25,48.817046792371976,2.2692616719081564,135.05877685546875,-41.567025324863266,14.056640625
-12.629999999999995,48.8177465021549,2.268882865026488,131.52679443359375,-40.94702532486326,10.524658203125
-15.989999999999952,48.818398317818854,2.2685348432264703,130.7926025390625,-44.30702532486322,9.79046630859375
-15.729999999999961,48.81906305456061,2.2681711536510654,125.27230072021484,-44.04702532486323,4.270164489746094
-15.289999999999964,48.81973026281694,2.2678075616929347,120.53911590576172,-43.60702532486323,-0.46302032470703125
-16.94999999999999,48.82038117811031,2.2674435170322287,110.7635726928711,-45.267025324863255,-10.238563537597656
-17.289999999999964,48.82102622104274,2.2670793150203843,99.17720794677734,-45.60702532486323,-21.824928283691406
-19.72999999999996,48.821667747006,2.266715021155443,86.50975799560547,-48.04702532486323,-34.49237823486328
-18.269999999999982,48.822335093857326,2.2663515226408806,81.89054107666016,-46.58702532486325,-39.111595153808594
